Ri,OID,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
R1,O1,41A_n,43,45,21,31,13,17,29,30,15,19,6,19,14,18,17,17
R2,O2,41A_n,37,38,26,26,15,25,47,48,14,21,4,14,14,28,13,14
R3,O3,41A_n,38,39,16,25,15,17,43,44,15,25,13,16,10,15,20,24
R4,O4,41A_n,34,41,25,27,17,17,44,47,15,23,12,15,7,14,20,34
R5,O5,41A_n,37,40,17,25,15,25,29,51,14,25,6,15,7,13,50,51
R6,O6,41A_n,37,46,23,27,13,25,29,38,19,26,4,9,14,24,33,45
R7,O7,41A_n,36,40,25,26,15,15,47,47,15,19,13,13,12,23,15,15
R8,O8,41A_n,38,40,21,26,17,19,49,49,19,21,6,12,16,18,18,18
R9,O9,41A_n,29,30,6,15,13,15,33,34,25,25,13,16,15,23,20,20
R10,O10,41A_n,26,35,16,25,22,27,5,7,16,28,12,13,11,13,14,18
R11,O11,41A_w,39,40,8,14,25,27,48,49,19,19,13,13,10,15,42,43
R12,O12,41A_w,28,36,18,25,21,29,38,49,23,36,5,13,13,23,42,47
R13,O13,41A_w,36,40,26,27,21,22,41,44,14,26,6,13,16,17,14,14
R14,O14,41A_w,40,46,22,27,25,29,38,45,17,19,9,12,13,13,25,46
R15,O15,41A_w,22,44,13,20,13,15,38,47,19,19,4,10,8,10,13,19
R16,O16,41A_w,36,46,16,22,17,17,38,43,17,26,9,18,7,22,14,14
R17,O17,41A_w,31,35,25,30,15,19,43,43,29,36,16,16,13,13,18,30
R18,O18,41A_w,35,35,25,27,11,17,42,44,19,26,8,8,13,17,20,20
R19,O19,41A_w,34,40,23,24,15,19,44,63,16,26,14,17,13,27,17,17
R20,O20,41A_w,36,39,18,27,21,25,45,49,14,16,12,13,16,18,14,14
R21,O21,41A_w,22,33,15,21,17,21,37,39,17,25,7,16,13,19,10,18
R22,O22,41A_w,39,44,19,20,13,17,39,39,14,14,5,13,15,20,25,26
R23,O23,43A_e,30,32,20,22,11,17,32,47,21,21,11,15,11,26,16,16
R24,O24,43A_e,32,39,18,21,13,19,41,45,13,19,4,7,10,13,15,15
R25,O25,43A_e,38,42,22,22,19,19,41,45,14,26,4,21,16,17,15,17
R26,O26,43A_e,27,34,18,26,13,23,42,45,17,21,4,4,10,15,20,20
R27,O27,43A_e,36,40,23,27,19,23,44,44,20,21,14,14,8,17,16,20
R28,O28,43A_e,32,32,15,23,13,23,42,44,27,29,14,14,10,10,15,20
R29,O29,43A_e,28,38,18,28,18,23,42,42,19,21,5,10,7,9,41,42
R30,O30,43A_e,28,38,17,19,13,21,43,44,14,19,19,27,13,26,24,24
R31,O31,43A_e,27,27,20,22,7,15,45,48,15,15,4,5,12,14,20,21
R32,O32,43A_e,24,41,14,19,13,19,43,44,19,25,7,10,7,13,20,40
R33,O33,43A_e,32,40,18,23,8,13,41,50,19,22,4,14,8,10,15,16
R34,O34,43A_e,38,40,26,27,16,23,42,43,17,21,13,18,8,15,20,20
R35,O35,43A_e,32,36,18,23,8,13,44,44,17,17,14,18,10,18,20,20
R36,O36,43A_e,36,39,18,27,13,19,41,44,17,19,7,13,13,18,16,16
R37,O37,43A_e,32,40,21,23,19,23,41,44,17,19,4,14,8,13,20,20
R38,O38,43A_n,37,38,14,27,13,15,40,44,19,19,11,16,16,25,14,17
R39,O39,43A_n,38,38,13,14,13,15,41,47,15,16,7,10,4,22,14,14
R40,O40,43A_n,28,38,19,27,15,27,38,38,19,24,9,19,4,5,17,17
R41,O41,43A_n,36,38,27,30,13,17,42,43,14,21,2,14,8,17,7,20
R42,O42,43A_n,38,40,14,27,15,15,38,44,14,19,9,16,9,14,14,17
R43,O43,43A_n,25,40,14,27,16,24,38,45,14,16,16,18,13,15,17,23
R44,O44,44_e,39,40,20,22,17,19,29,42,28,33,17,19,14,14,11,14
R45,O45,44_e,20,27,18,27,17,17,38,44,15,15,12,14,11,13,10,10
R46,O46,44_e,20,27,18,18,17,17,38,43,15,23,6,18,10,10,18,23
R47,O47,44_e,40,43,26,27,17,29,38,41,16,19,12,12,15,24,31,32
R48,O48,44_e,38,39,21,27,17,19,30,50,16,25,5,10,12,14,10,14
R49,O49,44_e,38,39,16,25,21,23,42,42,25,30,12,19,11,18,11,23
R50,O50,44_e,34,36,23,26,19,21,29,49,18,28,17,31,14,24,8,10
R51,O51,44_e,36,40,20,27,19,25,29,38,16,28,6,13,15,24,11,11
R52,O52,44_e,38,38,20,24,19,21,29,37,24,28,13,13,12,14,14,18
R53,O53,44_e,44,45,25,25,7,29,42,49,16,16,10,15,12,22,10,10
R54,O54,44_e,36,43,10,21,15,17,29,34,16,18,10,12,14,14,15,23
R55,O55,44_e,40,43,19,21,17,19,29,29,16,22,6,12,12,14,6,12
R56,O56,44_e,41,44,27,27,13,21,29,38,14,16,4,13,11,15,11,23
R57,O57,44_e,31,33,25,26,13,15,28,43,18,20,17,17,9,11,27,34
R58,O58,44_e,39,39,19,21,17,17,29,44,18,22,12,12,7,14,15,23
R59,O59,44_e,25,39,19,27,17,19,29,29,16,22,6,12,12,14,6,12
R60,O60,44_e,43,44,22,27,17,19,40,49,38,38,13,25,7,12,60,62
R61,O61,44_e,25,39,19,21,17,17,29,49,32,35,15,17,12,14,14,60
R62,O62,44_e,20,36,23,25,7,21,41,49,15,28,10,13,8,22,13,13
R63,O63,44_e,38,40,18,20,13,29,38,42,17,27,14,18,9,24,10,10
R64,O64,44_e,20,20,20,27,13,19,38,42,30,32,6,16,11,14,11,23
R65,O65,44_e,37,38,19,26,11,17,43,48,22,27,13,13,7,11,11,23
